"Y1"	"Y10"	"Y20"	"Y30"
6.96	8.86	NA	8.95
7.17	8.99	NA	9.12
6.99	8.67	NA	8.83
6.64	8.21	NA	8.43
6.71	8.37	NA	8.63
7.01	8.72	NA	8.95
7.4	9.09	NA	9.23
7.49	8.92	NA	9
7.75	9.06	NA	9.14
8.17	9.26	NA	9.32
8.09	8.98	NA	9.06
8.11	8.8	NA	8.89
8.48	8.96	NA	9.02
8.99	9.11	NA	9.01
9.05	9.09	NA	8.93
9.25	9.17	NA	9.01
9.57	9.36	NA	9.17
9.36	9.18	NA	9.03
8.98	8.86	NA	8.83
8.44	8.28	NA	8.27
7.89	8.02	NA	8.08
8.18	8.11	NA	8.12
8.22	8.19	NA	8.15
7.99	8.01	NA	8
7.77	7.87	NA	7.9
7.72	7.84	NA	7.9
7.92	8.21	NA	8.26
8.11	8.47	NA	8.5
8.35	8.59	NA	8.56
8.4	8.79	NA	8.76
8.32	8.76	NA	8.73
8.1	8.48	NA	8.46
7.94	8.47	NA	8.5
7.78	8.75	NA	8.86
7.76	8.89	NA	9.03
7.55	8.72	NA	8.86
7.31	8.39	NA	8.54
7.05	8.08	NA	8.24
6.64	8.09	NA	8.27
6.27	7.85	NA	8.03
6.4	8.11	NA	8.29
6.24	8.04	NA	8.21
6.13	8.07	NA	8.27
6.36	8.28	NA	8.47
6.31	8.27	NA	8.45
5.78	7.9	NA	8.14
5.57	7.65	NA	7.95
5.33	7.53	NA	7.93
4.89	7.42	NA	7.92
4.38	7.09	NA	7.7
4.15	7.03	NA	7.58
4.29	7.34	NA	7.85
4.63	7.54	NA	7.97
4.3	7.48	NA	7.96
4.19	7.39	NA	7.89
4.17	7.26	NA	7.84
3.6	6.84	NA	7.6
3.47	6.59	NA	7.39
3.18	6.42	NA	7.34
3.3	6.59	NA	7.53
3.68	6.87	NA	7.61
3.71	6.77	NA	7.44
3.5	6.6	NA	7.34
3.39	6.26	NA	7.09
3.33	5.98	NA	6.82
3.24	5.97	NA	6.85
3.36	6.04	NA	6.92
3.54	5.96	NA	6.81
3.47	5.81	NA	6.63
3.44	5.68	NA	6.32
3.36	5.36	NA	6
3.39	5.33	6.07	5.94
3.58	5.72	6.38	6.21
3.61	5.77	6.4	6.25
3.54	5.75	6.39	6.29
3.87	5.97	6.57	6.49
4.32	6.48	7	6.91
4.82	6.97	7.4	7.27
5.31	7.18	7.54	7.41
5.27	7.1	7.51	7.4
5.48	7.3	7.67	7.58
5.56	7.24	7.62	7.49
5.76	7.46	7.87	7.71
6.11	7.74	8.08	7.94
6.54	7.96	8.2	8.08
7.14	7.81	7.99	7.87
7.05	7.78	7.97	7.85
6.7	7.47	7.73	7.61
6.43	7.2	7.57	7.45
6.27	7.06	7.45	7.36
6	6.63	7.01	6.95
5.64	6.17	6.59	6.57
5.59	6.28	6.74	6.72
5.75	6.49	6.92	6.86
5.62	6.2	6.65	6.55
5.59	6.04	6.45	6.37
5.43	5.93	6.33	6.26
5.31	5.71	6.12	6.06
5.09	5.65	6.11	6.05
4.94	5.81	6.3	6.24
5.34	6.27	6.74	6.6
5.54	6.51	6.98	6.79
5.64	6.74	7.11	6.93
5.81	6.91	7.22	7.06
5.85	6.87	7.14	7.03
5.67	6.64	6.97	6.84
5.83	6.83	7.17	7.03
5.55	6.53	6.9	6.81
5.42	6.2	6.58	6.48
5.47	6.3	6.65	6.55
5.61	6.58	6.91	6.83
5.53	6.42	6.77	6.69
5.8	6.69	7.05	6.93
5.99	6.89	7.2	7.09
5.87	6.71	7.02	6.94
5.69	6.49	6.84	6.77
5.54	6.22	6.56	6.51
5.56	6.3	6.65	6.58
5.52	6.21	6.56	6.5
5.46	6.03	6.38	6.33
5.46	5.88	6.2	6.11
5.53	5.81	6.07	5.99
5.24	5.54	5.88	5.81
5.31	5.57	5.96	5.89
5.39	5.65	6.01	5.95
5.38	5.64	6	5.92
5.44	5.65	6.01	5.93
5.41	5.5	5.8	5.7
5.36	5.46	5.78	5.68
5.21	5.34	5.66	5.54
4.71	4.81	5.38	5.2
4.12	4.53	5.3	5.01
4.53	4.83	5.48	5.25
4.52	4.65	5.36	5.06
4.51	4.72	5.45	5.16
4.7	5	5.66	5.37
4.78	5.23	5.87	5.58
4.69	5.18	5.82	5.55
4.85	5.54	6.08	5.81
5.1	5.9	6.36	6.04
5.03	5.79	6.28	5.98
5.2	5.94	6.43	6.07
5.25	5.92	6.5	6.07
5.43	6.11	6.66	6.26
5.55	6.03	6.48	6.15
5.84	6.28	6.69	6.35
6.12	6.66	6.86	6.63
6.22	6.52	6.54	6.23
6.22	6.26	6.38	6.05
6.15	5.99	6.18	5.85
6.33	6.44	6.55	6.15
6.17	6.1	6.28	5.93
6.08	6.05	6.2	5.85
6.18	5.83	6.02	5.72
6.13	5.8	6.09	5.83
6.01	5.74	6.04	5.8
6.09	5.72	5.98	5.78
5.6	5.24	5.64	5.49
4.81	5.16	5.65	5.54
4.68	5.1	5.62	5.45
4.3	4.89	5.49	5.34
3.98	5.14	5.78	5.65
3.78	5.39	5.92	5.78
3.58	5.28	5.82	5.67
3.62	5.24	5.75	5.61
